timestamp, system, entity, est-latitude, est-longitude, est-depth, value (m)
1677082107.127, lauv-simulator-1, CTD, 41.18386974, -8.70571100, 0.087, 0.104
1677082107.118, lauv-simulator-1, Depth Sensor, 41.18386974, -8.70571100, 0.106, 0.085
1677082107.227, lauv-simulator-1, CTD, 41.18386974, -8.70571100, 0.037, 0.032
1677082107.218, lauv-simulator-1, Depth Sensor, 41.18386974, -8.70571100, 0.087, 0.032
1677082107.327, lauv-simulator-1, CTD, 41.18386974, -8.70571100, 0.022, 0.062
1677082107.318, lauv-simulator-1, Depth Sensor, 41.18386974, -8.70571100, 0.037, 0.021
1677082107.427, lauv-simulator-1, CTD, 41.18386975, -8.70571100, 0.117, 0.000
1677082107.418, lauv-simulator-1, Depth Sensor, 41.18386974, -8.70571100, 0.022, 0.127
1677082107.527, lauv-simulator-1, CTD, 41.18386975, -8.70571100, 0.091, 0.104
1677082107.518, lauv-simulator-1, Depth Sensor, 41.18386975, -8.70571100, 0.117, 0.088
1677082107.627, lauv-simulator-1, CTD, 41.18386975, -8.70571100, 0.088, 0.067
1677082107.618, lauv-simulator-1, Depth Sensor, 41.18386975, -8.70571100, 0.091, 0.087
1677082107.727, lauv-simulator-1, CTD, 41.18386975, -8.70571100, 0.064, 0.026
1677082107.718, lauv-simulator-1, Depth Sensor, 41.18386975, -8.70571100, 0.088, 0.062
1677082107.827, lauv-simulator-1, CTD, 41.18386976, -8.70571100, 0.006, 0.070
1677082107.818, lauv-simulator-1, Depth Sensor, 41.18386976, -8.70571100, 0.064, 0.000
1677082107.927, lauv-simulator-1, CTD, 41.18386976, -8.70571100, 0.044, 0.041
1677082107.918, lauv-simulator-1, Depth Sensor, 41.18386976, -8.70571100, 0.006, 0.047
1677082108.027, lauv-simulator-1, CTD, 41.18386976, -8.70571100, 0.010, 0.030
1677082108.018, lauv-simulator-1, Depth Sensor, 41.18386976, -8.70571100, 0.044, 0.007
1677082108.127, lauv-simulator-1, CTD, 41.18386977, -8.70571100, 0.001, 0.292
1677082108.118, lauv-simulator-1, Depth Sensor, 41.18386977, -8.70571100, 0.010, 0.000
1677082108.227, lauv-simulator-1, CTD, 41.18386977, -8.70571100, 0.018, 0.260
1677082108.218, lauv-simulator-1, Depth Sensor, 41.18386977, -8.70571100, 0.001, 0.020
