timestamp, system, entity, est-latitude, est-longitude, est-depth, value (rpm)
1676634286.040, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.090, 0
1676634286.090, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.022, 0
1676634286.140, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.022, 0
1676634286.190, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.059, 0
1676634286.240, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.059, 0
1676634286.290, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.072, 0
1676634286.340, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.072, 0
1676634286.390, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.012, 0
1676634286.440, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.012, 0
1676634286.490, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.052, 0
1676634286.540, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.052, 0
1676634286.590, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.005, 0
1676634286.640, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.005, 0
1676634286.690, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.126, 0
1676634286.740, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.126, 0
1676634286.790, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.053, 0
1676634286.840, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.053, 0
1676634286.890, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.005, 0
1676634286.940, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.005, 0
1676634286.990, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.086, 0
1676634287.040, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.086, 0
1676634287.090, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.155, 0
1676634287.140, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.155, 0
1676634287.190, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.058, 0
1676634287.240, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.058, 0
1676634287.290, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.015, 0
1676634287.340, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.015, 0
1676634287.390, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.056, 0
1676634287.440, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.056, 0
1676634287.490, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.083, 0
1676634287.540, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.083, 0
1676634287.590, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.008, 0
1676634287.640, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.008, 0
1676634287.690, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.074, 0
1676634287.740, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.074, 0
1676634287.790, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.023, 0
1676634287.840, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.023, 0
1676634287.890, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.102, 0
1676634287.940, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.102, 0
1676634287.990, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.081, 0
1676634288.040, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.081, 0
1676634288.090, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.049, 0
1676634288.140, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.049, 0
1676634288.190, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.115, 0
1676634288.240, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.115, 0
1676634288.290, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.056, 0
1676634288.340, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.056, 0
1676634288.390, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.068, 0
1676634288.440, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.068, 0
1676634288.490, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.006, 0
1676634288.540, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.006, 0
1676634288.590, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.075, 0
1676634288.640, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.075, 0
1676634288.690, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.007, 0
1676634288.740, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.007, 0
1676634288.790, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.074, 0
1676634288.840, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.074, 0
1676634288.890, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.117, 0
1676634288.940, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.117, 0
1676634288.990, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.078, 0
1676634289.040, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.078, 0
1676634289.090, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.119, 0
1676634289.140, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.119, 0
1676634289.190, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.011, 0
1676634289.240, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.011, 0
1676634289.290, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.031, 0
1676634289.340, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.031, 0
1676634289.390, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.027, 0
1676634289.440, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.027, 0
1676634289.490, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.080, 0
1676634289.540, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.080, 0
1676634289.590, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.074, 0
1676634289.640, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.074, 0
1676634289.690, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.067, 0
1676634289.740, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.067, 0
1676634289.790, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.136, 0
1676634289.840, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.136, 0
1676634289.890, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.012, 0
1676634289.940, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.012, 0
1676634289.990, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.033, 0
1676634290.040, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.033, 0
1676634290.090, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.011, 0
1676634290.140, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.011, 0
1676634290.190, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.030, 0
1676634290.240, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.030, 0
1676634290.290, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.070, 0
1676634290.340, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.070, 0
1676634290.390, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.029, 0
1676634290.440, lauv-simulator-1, Motor, 41.18387000, -8.70571100, 0.029, 0
