timestamp, system, entity, est-latitude, est-longitude, est-depth, validity (enumerated), location, beam_config, value (m)
1676288800.338, lauv-simulator-1, Altimeter, 41.18386946, -8.70571100, 0.063, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.542
1676288800.338, lauv-simulator-1, Echo Sounder, 41.18386946, -8.70571100, 0.063, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 14.945
1676288800.538, lauv-simulator-1, Altimeter, 41.18386947, -8.70571100, 0.051, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.589
1676288800.538, lauv-simulator-1, Echo Sounder, 41.18386947, -8.70571100, 0.051, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 13.492
1676288800.738, lauv-simulator-1, Altimeter, 41.18386948, -8.70571100, 0.111, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.505
1676288800.738, lauv-simulator-1, Echo Sounder, 41.18386948, -8.70571100, 0.111, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 13.912
1676288800.938, lauv-simulator-1, Altimeter, 41.18386949, -8.70571100, 0.097, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.462
1676288800.938, lauv-simulator-1, Echo Sounder, 41.18386949, -8.70571100, 0.097, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 15.959
1676288801.138, lauv-simulator-1, Altimeter, 41.18386951, -8.70571100, 0.055, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.524
1676288801.138, lauv-simulator-1, Echo Sounder, 41.18386951, -8.70571100, 0.055, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 17.871
1676288801.338, lauv-simulator-1, Altimeter, 41.18386952, -8.70571100, 0.008, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.424
1676288801.338, lauv-simulator-1, Echo Sounder, 41.18386952, -8.70571100, 0.008, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 17.579
1676288801.538, lauv-simulator-1, Altimeter, 41.18386953, -8.70571100, 0.018, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.515
1676288801.538, lauv-simulator-1, Echo Sounder, 41.18386953, -8.70571100, 0.018, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 16.665
1676288801.738, lauv-simulator-1, Altimeter, 41.18386954, -8.70571100, 0.066, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.507
1676288801.738, lauv-simulator-1, Echo Sounder, 41.18386954, -8.70571100, 0.066, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 18.528
1676288801.938, lauv-simulator-1, Altimeter, 41.18386956, -8.70571100, 0.062, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.517
1676288801.938, lauv-simulator-1, Echo Sounder, 41.18386956, -8.70571100, 0.062, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 21.433
1676288802.138, lauv-simulator-1, Altimeter, 41.18386957, -8.70571100, 0.081, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.443
1676288802.138, lauv-simulator-1, Echo Sounder, 41.18386957, -8.70571100, 0.081, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 21.753
1676288802.338, lauv-simulator-1, Altimeter, 41.18386958, -8.70571100, 0.007, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.581
1676288802.338, lauv-simulator-1, Echo Sounder, 41.18386958, -8.70571100, 0.007, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 19.599
1676288802.538, lauv-simulator-1, Altimeter, 41.18386959, -8.70571100, 0.098, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.579
1676288802.538, lauv-simulator-1, Echo Sounder, 41.18386959, -8.70571100, 0.098, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 20.192
1676288802.738, lauv-simulator-1, Altimeter, 41.18386960, -8.70571100, 0.063, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.558
1676288802.738, lauv-simulator-1, Echo Sounder, 41.18386960, -8.70571100, 0.063, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 25.089
1676288802.938, lauv-simulator-1, Altimeter, 41.18386961, -8.70571100, 0.013, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.493
1676288802.938, lauv-simulator-1, Echo Sounder, 41.18386961, -8.70571100, 0.013, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 27.743
1676288803.138, lauv-simulator-1, Altimeter, 41.18386962, -8.70571100, 0.060, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.488
1676288803.138, lauv-simulator-1, Echo Sounder, 41.18386962, -8.70571100, 0.060, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 24.447
1676288803.338, lauv-simulator-1, Altimeter, 41.18386963, -8.70571100, 0.050, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.595
1676288803.338, lauv-simulator-1, Echo Sounder, 41.18386963, -8.70571100, 0.050, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 24.124
1676288803.538, lauv-simulator-1, Altimeter, 41.18386964, -8.70571100, 0.004, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.521
1676288803.538, lauv-simulator-1, Echo Sounder, 41.18386964, -8.70571100, 0.004, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 28.497
1676288803.738, lauv-simulator-1, Altimeter, 41.18386965, -8.70571100, 0.000, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.518
1676288803.738, lauv-simulator-1, Echo Sounder, 41.18386965, -8.70571100, 0.000, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 29.675
1676288803.938, lauv-simulator-1, Altimeter, 41.18386965, -8.70571100, 0.007, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.486
1676288803.938, lauv-simulator-1, Echo Sounder, 41.18386965, -8.70571100, 0.007, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 29.846
1676288804.138, lauv-simulator-1, Altimeter, 41.18386966, -8.70571100, 0.043, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.520
1676288804.138, lauv-simulator-1, Echo Sounder, 41.18386966, -8.70571100, 0.043, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 28.474
1676288804.338, lauv-simulator-1, Altimeter, 41.18386967, -8.70571100, 0.021, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.565
1676288804.338, lauv-simulator-1, Echo Sounder, 41.18386967, -8.70571100, 0.021, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 30.000
1676288804.538, lauv-simulator-1, Altimeter, 41.18386980, -8.70571100, 0.006, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.506
1676288804.538, lauv-simulator-1, Echo Sounder, 41.18386980, -8.70571100, 0.006, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 29.560
1676288804.738, lauv-simulator-1, Altimeter, 41.18387005, -8.70571100, 0.002, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.436
1676288804.738, lauv-simulator-1, Echo Sounder, 41.18387005, -8.70571100, 0.002, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 28.122
1676288804.938, lauv-simulator-1, Altimeter, 41.18387040, -8.70571101, 0.094, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.614
1676288804.938, lauv-simulator-1, Echo Sounder, 41.18387040, -8.70571101, 0.094, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 16.501
1676288805.138, lauv-simulator-1, Altimeter, 41.18387084, -8.70571102, 0.135, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.471
1676288805.138, lauv-simulator-1, Echo Sounder, 41.18387084, -8.70571102, 0.135, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 10.518
1676288805.338, lauv-simulator-1, Altimeter, 41.18387134, -8.70571103, 0.018, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.606
1676288805.338, lauv-simulator-1, Echo Sounder, 41.18387134, -8.70571103, 0.018, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.866
1676288805.538, lauv-simulator-1, Altimeter, 41.18387189, -8.70571106, 0.110, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.611
1676288805.538, lauv-simulator-1, Echo Sounder, 41.18387189, -8.70571106, 0.110, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 3.834
1676288805.738, lauv-simulator-1, Altimeter, 41.18387249, -8.70571109, 0.130, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.590
1676288805.738, lauv-simulator-1, Echo Sounder, 41.18387249, -8.70571109, 0.130, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 3.401
1676288805.938, lauv-simulator-1, Altimeter, 41.18387312, -8.70571114, 0.069, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.536
1676288805.938, lauv-simulator-1, Echo Sounder, 41.18387312, -8.70571114, 0.069, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 2.318
1676288806.138, lauv-simulator-1, Altimeter, 41.18387381, -8.70571118, 0.026, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.592
1676288806.138, lauv-simulator-1, Echo Sounder, 41.18387381, -8.70571118, 0.026, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 2.062
1676288806.338, lauv-simulator-1, Altimeter, 41.18387453, -8.70571123, 0.101, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.528
1676288806.338, lauv-simulator-1, Echo Sounder, 41.18387453, -8.70571123, 0.101, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 1.794
1676288806.538, lauv-simulator-1, Altimeter, 41.18387528, -8.70571129, 0.059, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.479
1676288806.538, lauv-simulator-1, Echo Sounder, 41.18387528, -8.70571129, 0.059, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 1.645
1676288806.738, lauv-simulator-1, Altimeter, 41.18387608, -8.70571134, 0.068, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.567
1676288806.738, lauv-simulator-1, Echo Sounder, 41.18387608, -8.70571134, 0.068, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 1.705
1676288806.938, lauv-simulator-1, Altimeter, 41.18387691, -8.70571139, 0.108, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.539
1676288806.938, lauv-simulator-1, Echo Sounder, 41.18387691, -8.70571139, 0.108, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 1.198
1676288807.138, lauv-simulator-1, Altimeter, 41.18387778, -8.70571143, 0.008, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.629
1676288807.138, lauv-simulator-1, Echo Sounder, 41.18387778, -8.70571143, 0.008, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 1.184
1676288807.338, lauv-simulator-1, Altimeter, 41.18387869, -8.70571147, 0.087, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.518
1676288807.338, lauv-simulator-1, Echo Sounder, 41.18387869, -8.70571147, 0.087, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 1.737
1676288807.538, lauv-simulator-1, Altimeter, 41.18387964, -8.70571149, 0.065, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.545
1676288807.538, lauv-simulator-1, Echo Sounder, 41.18387964, -8.70571149, 0.065, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 1.170
1676288807.738, lauv-simulator-1, Altimeter, 41.18388062, -8.70571149, 0.001, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.652
1676288807.738, lauv-simulator-1, Echo Sounder, 41.18388062, -8.70571149, 0.001, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 0.713
1676288807.938, lauv-simulator-1, Altimeter, 41.18388164, -8.70571148, 0.020, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.604
1676288807.938, lauv-simulator-1, Echo Sounder, 41.18388164, -8.70571148, 0.020, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 1.031
1676288808.138, lauv-simulator-1, Altimeter, 41.18388269, -8.70571143, 0.065, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.569
1676288808.138, lauv-simulator-1, Echo Sounder, 41.18388269, -8.70571143, 0.065, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 0.409
1676288808.338, lauv-simulator-1, Altimeter, 41.18388378, -8.70571136, 0.066, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.052
1676288808.338, lauv-simulator-1, Echo Sounder, 41.18388378, -8.70571136, 0.066, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 0.582
1676288808.538, lauv-simulator-1, Altimeter, 41.18388490, -8.70571124, 0.114, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.095
1676288808.538, lauv-simulator-1, Echo Sounder, 41.18388490, -8.70571124, 0.114, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 0.435
1676288808.738, lauv-simulator-1, Altimeter, 41.18388606, -8.70571109, 0.127, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.042
1676288808.738, lauv-simulator-1, Echo Sounder, 41.18388606, -8.70571109, 0.127, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 0.672
1676288808.938, lauv-simulator-1, Altimeter, 41.18388725, -8.70571088, 0.098, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.030
1676288808.938, lauv-simulator-1, Echo Sounder, 41.18388725, -8.70571088, 0.098, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 0.561
1676288809.138, lauv-simulator-1, Altimeter, 41.18388846, -8.70571062, 0.044, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.048
1676288809.138, lauv-simulator-1, Echo Sounder, 41.18388846, -8.70571062, 0.044, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 0.911
1676288809.338, lauv-simulator-1, Altimeter, 41.18388971, -8.70571029, 0.093, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 5.993
1676288809.338, lauv-simulator-1, Echo Sounder, 41.18388971, -8.70571029, 0.093, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 0.716
1676288809.538, lauv-simulator-1, Altimeter, 41.18389098, -8.70570990, 0.039, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.163
1676288809.538, lauv-simulator-1, Echo Sounder, 41.18389098, -8.70570990, 0.039, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 0.870
1676288809.738, lauv-simulator-1, Altimeter, 41.18389227, -8.70570942, 0.002, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.034
1676288809.738, lauv-simulator-1, Echo Sounder, 41.18389227, -8.70570942, 0.002, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 0.225
1676288809.938, lauv-simulator-1, Altimeter, 41.18389359, -8.70570886, 0.064, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 5.935
1676288809.938, lauv-simulator-1, Echo Sounder, 41.18389359, -8.70570886, 0.064, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 0.841
1676288810.138, lauv-simulator-1, Altimeter, 41.18389491, -8.70570822, 0.100, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 5.458
1676288810.138, lauv-simulator-1, Echo Sounder, 41.18389491, -8.70570822, 0.100, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 0.200
1676288810.338, lauv-simulator-1, Altimeter, 41.18389625, -8.70570747, 0.008, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 5.484
1676288810.338, lauv-simulator-1, Echo Sounder, 41.18389625, -8.70570747, 0.008, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 0.920
1676288810.538, lauv-simulator-1, Altimeter, 41.18389759, -8.70570663, 0.106, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 5.395
1676288810.538, lauv-simulator-1, Echo Sounder, 41.18389759, -8.70570663, 0.106, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 0.200
1676288810.738, lauv-simulator-1, Altimeter, 41.18389893, -8.70570568, 0.004, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 5.501
1676288810.738, lauv-simulator-1, Echo Sounder, 41.18389893, -8.70570568, 0.004, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 0.441
1676288810.938, lauv-simulator-1, Altimeter, 41.18390026, -8.70570462, 0.026, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 5.510
1676288810.938, lauv-simulator-1, Echo Sounder, 41.18390026, -8.70570462, 0.026, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 0.200
1676288811.138, lauv-simulator-1, Altimeter, 41.18390158, -8.70570344, 0.009, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 5.475
1676288811.138, lauv-simulator-1, Echo Sounder, 41.18390159, -8.70570344, 0.009, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 1.033
