timestamp, system, entity, est-latitude, est-longitude, est-depth, value (m)
1678722202.149, lauv-simulator-1, CTD, 41.18386982, -8.70571100, 0.067, 0.091
1678722202.140, lauv-simulator-1, Depth Sensor, 41.18386982, -8.70571100, 0.063, 0.068
1678722202.249, lauv-simulator-1, CTD, 41.18386983, -8.70571100, 0.140, 0.000
1678722202.240, lauv-simulator-1, Depth Sensor, 41.18386983, -8.70571100, 0.067, 0.148
1678722202.349, lauv-simulator-1, CTD, 41.18386983, -8.70571100, 0.074, 0.104
1678722202.340, lauv-simulator-1, Depth Sensor, 41.18386983, -8.70571100, 0.140, 0.067
1678722202.449, lauv-simulator-1, CTD, 41.18386983, -8.70571100, 0.123, 0.041
1678722202.440, lauv-simulator-1, Depth Sensor, 41.18386983, -8.70571100, 0.074, 0.128
1678722202.549, lauv-simulator-1, CTD, 41.18386983, -8.70571100, 0.037, 0.146
1678722202.540, lauv-simulator-1, Depth Sensor, 41.18386983, -8.70571100, 0.123, 0.028
1678722202.649, lauv-simulator-1, CTD, 41.18386983, -8.70571100, 0.084, 0.146
1678722202.640, lauv-simulator-1, Depth Sensor, 41.18386984, -8.70571100, 0.037, 0.089
1678722202.749, lauv-simulator-1, CTD, 41.18386984, -8.70571100, 0.008, 0.037
1678722202.740, lauv-simulator-1, Depth Sensor, 41.18386984, -8.70571100, 0.084, 0.000
1678722202.849, lauv-simulator-1, CTD, 41.18386984, -8.70571100, 0.013, 0.120
1678722202.840, lauv-simulator-1, Depth Sensor, 41.18386984, -8.70571100, 0.008, 0.014
1678722202.949, lauv-simulator-1, CTD, 41.18386984, -8.70571100, 0.015, 0.029
1678722202.940, lauv-simulator-1, Depth Sensor, 41.18386984, -8.70571100, 0.013, 0.015
1678722203.049, lauv-simulator-1, CTD, 41.18386984, -8.70571100, 0.091, 0.211
1678722203.040, lauv-simulator-1, Depth Sensor, 41.18386984, -8.70571100, 0.015, 0.099
1678722203.149, lauv-simulator-1, CTD, 41.18386984, -8.70571100, 0.062, 0.151
1678722203.140, lauv-simulator-1, Depth Sensor, 41.18386984, -8.70571100, 0.091, 0.059
1678722203.249, lauv-simulator-1, CTD, 41.18386985, -8.70571100, 0.028, 0.023
1678722203.240, lauv-simulator-1, Depth Sensor, 41.18386985, -8.70571100, 0.062, 0.025
1678722203.349, lauv-simulator-1, CTD, 41.18386985, -8.70571100, 0.122, 0.110
1678722203.340, lauv-simulator-1, Depth Sensor, 41.18386985, -8.70571100, 0.028, 0.131
1678722203.449, lauv-simulator-1, CTD, 41.18386985, -8.70571100, 0.011, 0.032
1678722203.440, lauv-simulator-1, Depth Sensor, 41.18386985, -8.70571100, 0.122, 0.000
1678722203.549, lauv-simulator-1, CTD, 41.18386985, -8.70571100, 0.034, 0.078
1678722203.540, lauv-simulator-1, Depth Sensor, 41.18386985, -8.70571100, 0.011, 0.036
1678722203.649, lauv-simulator-1, CTD, 41.18386985, -8.70571100, 0.197, 0.011
1678722203.640, lauv-simulator-1, Depth Sensor, 41.18386985, -8.70571100, 0.034, 0.214
1678722203.749, lauv-simulator-1, CTD, 41.18386985, -8.70571100, 0.038, 0.000
1678722203.740, lauv-simulator-1, Depth Sensor, 41.18386985, -8.70571100, 0.197, 0.022
1678722203.849, lauv-simulator-1, CTD, 41.18386986, -8.70571100, 0.079, 0.143
1678722203.840, lauv-simulator-1, Depth Sensor, 41.18386986, -8.70571100, 0.038, 0.083
1678722203.949, lauv-simulator-1, CTD, 41.18386986, -8.70571100, 0.039, 0.060
1678722203.940, lauv-simulator-1, Depth Sensor, 41.18386986, -8.70571100, 0.079, 0.035
1678722204.049, lauv-simulator-1, CTD, 41.18386986, -8.70571100, 0.076, 0.000
1678722204.040, lauv-simulator-1, Depth Sensor, 41.18386986, -8.70571100, 0.039, 0.080
1678722204.149, lauv-simulator-1, CTD, 41.18386986, -8.70571100, 0.007, 0.084
1678722204.140, lauv-simulator-1, Depth Sensor, 41.18386986, -8.70571100, 0.076, 0.000
1678722204.249, lauv-simulator-1, CTD, 41.18386986, -8.70571100, 0.004, 0.122
1678722204.240, lauv-simulator-1, Depth Sensor, 41.18386986, -8.70571100, 0.007, 0.004
1678722204.349, lauv-simulator-1, CTD, 41.18386986, -8.70571100, 0.032, 0.027
1678722204.340, lauv-simulator-1, Depth Sensor, 41.18386986, -8.70571100, 0.004, 0.035
1678722204.449, lauv-simulator-1, CTD, 41.18386987, -8.70571100, 0.030, 0.057
1678722204.440, lauv-simulator-1, Depth Sensor, 41.18386986, -8.70571100, 0.032, 0.029
1678722204.549, lauv-simulator-1, CTD, 41.18386987, -8.70571100, 0.021, 0.000
1678722204.540, lauv-simulator-1, Depth Sensor, 41.18386987, -8.70571100, 0.030, 0.020
1678722204.649, lauv-simulator-1, CTD, 41.18386987, -8.70571100, 0.038, 0.000
1678722204.640, lauv-simulator-1, Depth Sensor, 41.18386987, -8.70571100, 0.021, 0.040
1678722204.749, lauv-simulator-1, CTD, 41.18386987, -8.70571100, 0.093, 0.000
1678722204.740, lauv-simulator-1, Depth Sensor, 41.18386987, -8.70571100, 0.038, 0.099
1678722204.849, lauv-simulator-1, CTD, 41.18386987, -8.70571100, 0.055, 0.149
1678722204.840, lauv-simulator-1, Depth Sensor, 41.18386987, -8.70571100, 0.093, 0.051
1678722204.949, lauv-simulator-1, CTD, 41.18386987, -8.70571100, 0.071, 0.000
1678722204.940, lauv-simulator-1, Depth Sensor, 41.18386987, -8.70571100, 0.055, 0.072
1678722205.049, lauv-simulator-1, CTD, 41.18386988, -8.70571100, 0.006, 0.066
1678722205.040, lauv-simulator-1, Depth Sensor, 41.18386987, -8.70571100, 0.071, 0.000
1678722205.149, lauv-simulator-1, CTD, 41.18386988, -8.70571100, 0.001, 0.038
1678722205.140, lauv-simulator-1, Depth Sensor, 41.18386988, -8.70571100, 0.006, 0.000
1678722205.249, lauv-simulator-1, CTD, 41.18386988, -8.70571100, 0.007, 0.014
1678722205.240, lauv-simulator-1, Depth Sensor, 41.18386988, -8.70571100, 0.001, 0.007
1678722205.349, lauv-simulator-1, CTD, 41.18386988, -8.70571100, 0.091, 0.148
1678722205.340, lauv-simulator-1, Depth Sensor, 41.18386988, -8.70571100, 0.007, 0.099
1678722205.449, lauv-simulator-1, CTD, 41.18386988, -8.70571100, 0.024, 0.000
1678722205.440, lauv-simulator-1, Depth Sensor, 41.18386988, -8.70571100, 0.091, 0.018
1678722205.549, lauv-simulator-1, CTD, 41.18386988, -8.70571100, 0.055, 0.095
1678722205.540, lauv-simulator-1, Depth Sensor, 41.18386988, -8.70571100, 0.024, 0.058
1678722205.649, lauv-simulator-1, CTD, 41.18386988, -8.70571100, 0.053, 0.138
1678722205.640, lauv-simulator-1, Depth Sensor, 41.18386988, -8.70571100, 0.055, 0.053
1678722205.749, lauv-simulator-1, CTD, 41.18386989, -8.70571100, 0.016, 0.180
1678722205.740, lauv-simulator-1, Depth Sensor, 41.18386989, -8.70571100, 0.053, 0.012
1678722205.849, lauv-simulator-1, CTD, 41.18386989, -8.70571100, 0.147, 0.196
1678722205.840, lauv-simulator-1, Depth Sensor, 41.18386989, -8.70571100, 0.016, 0.160
1678722205.949, lauv-simulator-1, CTD, 41.18386989, -8.70571100, 0.013, 0.067
1678722205.940, lauv-simulator-1, Depth Sensor, 41.18386989, -8.70571100, 0.147, 0.000
1678722206.049, lauv-simulator-1, CTD, 41.18386989, -8.70571100, 0.025, 0.046
1678722206.040, lauv-simulator-1, Depth Sensor, 41.18386989, -8.70571100, 0.013, 0.026
1678722206.149, lauv-simulator-1, CTD, 41.18386989, -8.70571100, 0.062, 0.152
1678722206.140, lauv-simulator-1, Depth Sensor, 41.18386989, -8.70571100, 0.025, 0.066
1678722206.249, lauv-simulator-1, CTD, 41.18386989, -8.70571100, 0.006, 0.086
1678722206.240, lauv-simulator-1, Depth Sensor, 41.18386989, -8.70571100, 0.062, 0.000
1678722206.349, lauv-simulator-1, CTD, 41.18386989, -8.70571100, 0.033, 0.057
1678722206.340, lauv-simulator-1, Depth Sensor, 41.18386989, -8.70571100, 0.006, 0.035
1678722206.449, lauv-simulator-1, CTD, 41.18386989, -8.70571100, 0.061, 0.365
1678722206.440, lauv-simulator-1, Depth Sensor, 41.18386989, -8.70571100, 0.033, 0.064
1678722206.549, lauv-simulator-1, CTD, 41.18386990, -8.70571100, 0.054, 0.171
1678722206.540, lauv-simulator-1, Depth Sensor, 41.18386990, -8.70571100, 0.061, 0.053
1678722206.649, lauv-simulator-1, CTD, 41.18386990, -8.70571100, 0.032, 0.000
1678722206.640, lauv-simulator-1, Depth Sensor, 41.18386990, -8.70571100, 0.054, 0.030
1678722206.749, lauv-simulator-1, CTD, 41.18386991, -8.70571100, 0.003, 0.216
1678722206.740, lauv-simulator-1, Depth Sensor, 41.18386990, -8.70571100, 0.032, 0.000
1678722206.849, lauv-simulator-1, CTD, 41.18386997, -8.70571100, 0.094, 0.000
1678722206.840, lauv-simulator-1, Depth Sensor, 41.18386994, -8.70571100, 0.003, 0.103
1678722206.949, lauv-simulator-1, CTD, 41.18387007, -8.70571100, 0.031, 0.165
1678722206.940, lauv-simulator-1, Depth Sensor, 41.18387002, -8.70571100, 0.094, 0.025
1678722207.049, lauv-simulator-1, CTD, 41.18387019, -8.70571100, 0.060, 0.170
1678722207.040, lauv-simulator-1, Depth Sensor, 41.18387012, -8.70571100, 0.031, 0.062
1678722207.149, lauv-simulator-1, CTD, 41.18387034, -8.70571100, 0.044, 0.260
1678722207.140, lauv-simulator-1, Depth Sensor, 41.18387029, -8.70571100, 0.060, 0.042
1678722207.249, lauv-simulator-1, CTD, 41.18387051, -8.70571100, 0.053, 0.161
1678722207.240, lauv-simulator-1, Depth Sensor, 41.18387046, -8.70571101, 0.044, 0.054
1678722207.349, lauv-simulator-1, CTD, 41.18387070, -8.70571101, 0.140, 0.023
1678722207.340, lauv-simulator-1, Depth Sensor, 41.18387065, -8.70571101, 0.053, 0.149
1678722207.449, lauv-simulator-1, CTD, 41.18387091, -8.70571101, 0.079, 0.217
1678722207.440, lauv-simulator-1, Depth Sensor, 41.18387087, -8.70571101, 0.140, 0.073
1678722207.549, lauv-simulator-1, CTD, 41.18387114, -8.70571102, 0.087, 0.105
1678722207.540, lauv-simulator-1, Depth Sensor, 41.18387109, -8.70571102, 0.079, 0.088
1678722207.649, lauv-simulator-1, CTD, 41.18387138, -8.70571102, 0.057, 0.124
1678722207.640, lauv-simulator-1, Depth Sensor, 41.18387134, -8.70571102, 0.087, 0.054
1678722207.749, lauv-simulator-1, CTD, 41.18387164, -8.70571104, 0.010, 0.066
1678722207.740, lauv-simulator-1, Depth Sensor, 41.18387160, -8.70571104, 0.057, 0.006
1678722207.849, lauv-simulator-1, CTD, 41.18387191, -8.70571105, 0.068, 0.000
1678722207.840, lauv-simulator-1, Depth Sensor, 41.18387187, -8.70571105, 0.010, 0.074
1678722207.949, lauv-simulator-1, CTD, 41.18387220, -8.70571106, 0.048, 0.202
1678722207.940, lauv-simulator-1, Depth Sensor, 41.18387216, -8.70571107, 0.068, 0.046
1678722208.049, lauv-simulator-1, CTD, 41.18387249, -8.70571108, 0.095, 0.138
1678722208.040, lauv-simulator-1, Depth Sensor, 41.18387245, -8.70571108, 0.048, 0.099
1678722208.149, lauv-simulator-1, CTD, 41.18387280, -8.70571110, 0.124, 0.111
1678722208.140, lauv-simulator-1, Depth Sensor, 41.18387276, -8.70571110, 0.095, 0.126
1678722208.249, lauv-simulator-1, CTD, 41.18387312, -8.70571111, 0.096, 0.144
1678722208.240, lauv-simulator-1, Depth Sensor, 41.18387308, -8.70571112, 0.124, 0.093
1678722208.349, lauv-simulator-1, CTD, 41.18387345, -8.70571114, 0.009, 0.046
1678722208.340, lauv-simulator-1, Depth Sensor, 41.18387340, -8.70571114, 0.096, 0.000
1678722208.449, lauv-simulator-1, CTD, 41.18387379, -8.70571116, 0.045, 0.000
1678722208.440, lauv-simulator-1, Depth Sensor, 41.18387374, -8.70571117, 0.009, 0.048
1678722208.549, lauv-simulator-1, CTD, 41.18387413, -8.70571118, 0.004, 0.081
1678722208.540, lauv-simulator-1, Depth Sensor, 41.18387409, -8.70571119, 0.045, 0.000
