timestamp, system, entity, est-latitude, est-longitude, est-depth, validity (enumerated), location, beam_config, value (m)
1678722202.116, lauv-simulator-1, Altimeter, 41.18386982, -8.70571100, 0.063, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.570
1678722202.116, lauv-simulator-1, Echo Sounder, 41.18386982, -8.70571100, 0.063, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 30.000
1678722202.316, lauv-simulator-1, Altimeter, 41.18386983, -8.70571100, 0.140, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.551
1678722202.316, lauv-simulator-1, Echo Sounder, 41.18386983, -8.70571100, 0.140, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 30.000
1678722202.516, lauv-simulator-1, Altimeter, 41.18386983, -8.70571100, 0.123, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.474
1678722202.516, lauv-simulator-1, Echo Sounder, 41.18386983, -8.70571100, 0.123, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 30.000
1678722202.716, lauv-simulator-1, Altimeter, 41.18386984, -8.70571100, 0.084, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.547
1678722202.716, lauv-simulator-1, Echo Sounder, 41.18386984, -8.70571100, 0.084, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 30.000
1678722202.916, lauv-simulator-1, Altimeter, 41.18386984, -8.70571100, 0.013, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.612
1678722202.916, lauv-simulator-1, Echo Sounder, 41.18386984, -8.70571100, 0.013, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 30.000
1678722203.116, lauv-simulator-1, Altimeter, 41.18386984, -8.70571100, 0.091, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.578
1678722203.116, lauv-simulator-1, Echo Sounder, 41.18386984, -8.70571100, 0.091, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 29.698
1678722203.316, lauv-simulator-1, Altimeter, 41.18386985, -8.70571100, 0.028, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.598
1678722203.316, lauv-simulator-1, Echo Sounder, 41.18386985, -8.70571100, 0.028, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 30.000
1678722203.516, lauv-simulator-1, Altimeter, 41.18386985, -8.70571100, 0.011, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.585
1678722203.516, lauv-simulator-1, Echo Sounder, 41.18386985, -8.70571100, 0.011, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 29.974
1678722203.716, lauv-simulator-1, Altimeter, 41.18386985, -8.70571100, 0.197, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.465
1678722203.716, lauv-simulator-1, Echo Sounder, 41.18386985, -8.70571100, 0.197, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 30.000
1678722203.916, lauv-simulator-1, Altimeter, 41.18386986, -8.70571100, 0.079, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.572
1678722203.916, lauv-simulator-1, Echo Sounder, 41.18386986, -8.70571100, 0.079, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 30.000
1678722204.116, lauv-simulator-1, Altimeter, 41.18386986, -8.70571100, 0.076, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.522
1678722204.116, lauv-simulator-1, Echo Sounder, 41.18386986, -8.70571100, 0.076, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 30.000
1678722204.316, lauv-simulator-1, Altimeter, 41.18386986, -8.70571100, 0.004, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.532
1678722204.316, lauv-simulator-1, Echo Sounder, 41.18386986, -8.70571100, 0.004, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 30.000
1678722204.516, lauv-simulator-1, Altimeter, 41.18386987, -8.70571100, 0.030, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.509
1678722204.516, lauv-simulator-1, Echo Sounder, 41.18386987, -8.70571100, 0.030, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 29.891
1678722204.716, lauv-simulator-1, Altimeter, 41.18386987, -8.70571100, 0.038, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.491
1678722204.716, lauv-simulator-1, Echo Sounder, 41.18386987, -8.70571100, 0.038, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 30.000
1678722204.916, lauv-simulator-1, Altimeter, 41.18386987, -8.70571100, 0.055, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.573
1678722204.916, lauv-simulator-1, Echo Sounder, 41.18386987, -8.70571100, 0.055, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 30.000
1678722205.116, lauv-simulator-1, Altimeter, 41.18386988, -8.70571100, 0.006, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.585
1678722205.116, lauv-simulator-1, Echo Sounder, 41.18386988, -8.70571100, 0.006, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 29.573
1678722205.316, lauv-simulator-1, Altimeter, 41.18386988, -8.70571100, 0.007, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.612
1678722205.316, lauv-simulator-1, Echo Sounder, 41.18386988, -8.70571100, 0.007, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 30.000
1678722205.516, lauv-simulator-1, Altimeter, 41.18386988, -8.70571100, 0.024, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.568
1678722205.516, lauv-simulator-1, Echo Sounder, 41.18386988, -8.70571100, 0.024, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 29.826
1678722205.716, lauv-simulator-1, Altimeter, 41.18386989, -8.70571100, 0.053, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.525
1678722205.716, lauv-simulator-1, Echo Sounder, 41.18386989, -8.70571100, 0.053, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 30.000
1678722205.916, lauv-simulator-1, Altimeter, 41.18386989, -8.70571100, 0.147, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.495
1678722205.916, lauv-simulator-1, Echo Sounder, 41.18386989, -8.70571100, 0.147, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 30.000
1678722206.116, lauv-simulator-1, Altimeter, 41.18386989, -8.70571100, 0.025, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.680
1678722206.116, lauv-simulator-1, Echo Sounder, 41.18386989, -8.70571100, 0.025, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 30.000
1678722206.316, lauv-simulator-1, Altimeter, 41.18386989, -8.70571100, 0.006, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.582
1678722206.316, lauv-simulator-1, Echo Sounder, 41.18386989, -8.70571100, 0.006, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 29.727
1678722206.516, lauv-simulator-1, Altimeter, 41.18386990, -8.70571100, 0.061, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.564
1678722206.516, lauv-simulator-1, Echo Sounder, 41.18386990, -8.70571100, 0.061, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 30.000
1678722206.716, lauv-simulator-1, Altimeter, 41.18386990, -8.70571100, 0.032, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.583
1678722206.716, lauv-simulator-1, Echo Sounder, 41.18386990, -8.70571100, 0.032, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 30.000
1678722206.916, lauv-simulator-1, Altimeter, 41.18387002, -8.70571100, 0.094, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.492
1678722206.916, lauv-simulator-1, Echo Sounder, 41.18387002, -8.70571100, 0.094, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 29.966
1678722207.116, lauv-simulator-1, Altimeter, 41.18387027, -8.70571100, 0.060, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.535
1678722207.116, lauv-simulator-1, Echo Sounder, 41.18387027, -8.70571100, 0.060, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 30.000
1678722207.316, lauv-simulator-1, Altimeter, 41.18387062, -8.70571101, 0.053, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.576
1678722207.316, lauv-simulator-1, Echo Sounder, 41.18387062, -8.70571101, 0.053, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 27.547
1678722207.516, lauv-simulator-1, Altimeter, 41.18387104, -8.70571102, 0.079, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.524
1678722207.516, lauv-simulator-1, Echo Sounder, 41.18387104, -8.70571102, 0.079, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 13.308
1678722207.716, lauv-simulator-1, Altimeter, 41.18387155, -8.70571103, 0.057, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.519
1678722207.716, lauv-simulator-1, Echo Sounder, 41.18387155, -8.70571103, 0.057, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 7.490
1678722207.916, lauv-simulator-1, Altimeter, 41.18387210, -8.70571106, 0.068, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.536
1678722207.916, lauv-simulator-1, Echo Sounder, 41.18387210, -8.70571106, 0.068, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 5.322
1678722208.116, lauv-simulator-1, Altimeter, 41.18387269, -8.70571109, 0.095, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.555
1678722208.116, lauv-simulator-1, Echo Sounder, 41.18387269, -8.70571109, 0.095, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 3.813
1678722208.316, lauv-simulator-1, Altimeter, 41.18387333, -8.70571113, 0.096, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.615
1678722208.316, lauv-simulator-1, Echo Sounder, 41.18387333, -8.70571113, 0.096, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 2.807
1678722208.516, lauv-simulator-1, Altimeter, 41.18387401, -8.70571118, 0.045, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.541
1678722208.516, lauv-simulator-1, Echo Sounder, 41.18387401, -8.70571118, 0.045, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 2.595
1678722208.716, lauv-simulator-1, Altimeter, 41.18387473, -8.70571123, 0.089, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.478
1678722208.716, lauv-simulator-1, Echo Sounder, 41.18387473, -8.70571123, 0.089, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 2.176
1678722208.916, lauv-simulator-1, Altimeter, 41.18387549, -8.70571128, 0.004, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.661
1678722208.916, lauv-simulator-1, Echo Sounder, 41.18387549, -8.70571128, 0.004, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 1.847
1678722209.116, lauv-simulator-1, Altimeter, 41.18387628, -8.70571134, 0.048, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.544
1678722209.116, lauv-simulator-1, Echo Sounder, 41.18387628, -8.70571134, 0.048, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 1.335
1678722209.316, lauv-simulator-1, Altimeter, 41.18387711, -8.70571139, 0.099, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.617
1678722209.316, lauv-simulator-1, Echo Sounder, 41.18387711, -8.70571139, 0.099, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 1.208
1678722209.516, lauv-simulator-1, Altimeter, 41.18387799, -8.70571143, 0.003, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.572
1678722209.516, lauv-simulator-1, Echo Sounder, 41.18387799, -8.70571143, 0.003, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 1.121
1678722209.716, lauv-simulator-1, Altimeter, 41.18387904, -8.70571147, 0.087, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.441
1678722209.716, lauv-simulator-1, Echo Sounder, 41.18387904, -8.70571147, 0.087, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 1.115
1678722209.916, lauv-simulator-1, Altimeter, 41.18387985, -8.70571149, 0.030, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.468
1678722209.916, lauv-simulator-1, Echo Sounder, 41.18387985, -8.70571149, 0.030, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 1.122
1678722210.116, lauv-simulator-1, Altimeter, 41.18388082, -8.70571149, 0.013, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.524
1678722210.116, lauv-simulator-1, Echo Sounder, 41.18388082, -8.70571149, 0.013, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 0.838
1678722210.316, lauv-simulator-1, Altimeter, 41.18388183, -8.70571147, 0.005, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.586
1678722210.316, lauv-simulator-1, Echo Sounder, 41.18388183, -8.70571147, 0.005, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 1.119
1678722210.516, lauv-simulator-1, Altimeter, 41.18388289, -8.70571143, 0.086, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 6.551
1678722210.516, lauv-simulator-1, Echo Sounder, 41.18388289, -8.70571143, 0.086, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 0.476
