timestamp,DVL-filtered,validity,Echo,rpm,depth,Label
1677082107.093,6.552,VALID,30.0,0,0.021,SURFACED
1677082107.293,6.548,VALID,30.0,0,0.088,SURFACED
1677082107.493,6.557,VALID,30.0,0,0.062,SURFACED
1677082107.693,6.589,VALID,29.897,0,0.047,SURFACED
1677082107.893,6.519,VALID,30.0,0,0.0,SURFACED
1677082108.093,6.603,VALID,30.0,0,0.036,SURFACED
1677082108.293,6.506,VALID,30.0,0,0.041,SURFACED
1677082108.493,6.507,VALID,30.0,0,0.053,SURFACED
1677082108.693,6.57,VALID,29.639,0,0.018,SURFACED
1677082108.893,6.567,VALID,30.0,0,0.067,SURFACED
1677082109.093,6.516,VALID,30.0,0,0.059,SURFACED
1677082109.293,6.601,VALID,30.0,0,0.026,SURFACED
1677082109.493,6.492,VALID,29.918,0,0.0,SURFACED
1677082109.693,6.531,VALID,29.956,0,0.071,SURFACED
1677082109.893,6.599,VALID,30.0,0,0.028,SURFACED
1677082110.093,6.583,VALID,29.917,0,0.0,SURFACED
1677082110.293,6.579,VALID,29.359,0,0.084,SURFACED
1677082110.493,6.551,VALID,30.0,0,0.021,SURFACED
1677082110.693,6.579,VALID,30.0,0,0.06,SURFACED
1677082110.893,6.56,VALID,30.0,0,0.071,SURFACED
1677082111.093,6.587,VALID,29.935,0,0.044,SURFACED
1677082111.293,6.576,VALID,30.0,0,0.037,SURFACED
1677082111.493,6.568,VALID,29.871,0,0.039,SURFACED
1677082111.693,6.512,VALID,24.646,210,0.012,SURFACED
1677082111.893,6.514,VALID,12.08,276,0.051,SURFACED
1677082112.093,6.514,VALID,7.385,291,0.0,SURFACED
1677082112.293,6.572,VALID,4.936,307,0.092,SURFACED
1677082112.493,6.513,VALID,3.695,323,0.098,SURFACED
1677082112.693,6.61,VALID,2.534,338,0.026,SURFACED
1677082112.893,6.532,VALID,2.174,354,0.099,SURFACED
1677082113.093,6.562,VALID,2.098,370,0.053,SURFACED
1677082113.293,6.499,VALID,1.139,385,0.059,SURFACED
1677082113.493,6.601,VALID,1.295,401,0.036,SURFACED
1677082113.693,6.539,VALID,1.221,417,0.025,SURFACED
1677082113.893,6.473,VALID,0.896,432,0.096,SURFACED
1677082114.093,6.511,VALID,0.793,448,0.006,SURFACED
1677082114.293,6.456,VALID,0.808,464,0.085,SURFACED
1677082114.493,6.537,VALID,0.953,480,0.046,SURFACED
1677082114.693,6.535,VALID,0.747,495,0.125,SURFACED
1677082114.893,6.623,VALID,0.902,511,0.075,SURFACED
1677082115.093,6.038,VALID,0.357,527,0.006,SURFACED
1677082115.293,6.012,VALID,1.322,542,0.017,SURFACED
1677082115.493,5.967,VALID,0.739,558,0.068,SURFACED
1677082115.693,5.992,VALID,0.464,574,0.033,SURFACED
1677082115.893,6.054,VALID,0.693,589,0.001,SURFACED
1677082116.093,6.063,VALID,0.2,605,0.1,SURFACED
1677082116.293,6.074,VALID,0.507,621,0.056,SURFACED
1677082116.493,6.091,VALID,0.2,636,0.102,SURFACED
1677082116.693,6.038,VALID,0.528,652,0.078,SURFACED
1677082116.893,5.408,VALID,0.501,668,0.013,SURFACED
1677082117.093,5.417,VALID,0.213,683,0.013,SURFACED
1677082117.293,5.445,VALID,0.714,699,0.031,SURFACED
1677082117.493,5.447,VALID,0.2,715,0.0,SURFACED
1677082117.693,5.417,VALID,0.2,730,0.043,SURFACED
1677082117.893,5.383,VALID,0.2,746,0.001,SURFACED
1677082118.093,5.133,VALID,0.2,762,0.099,SURFACED
1677082118.293,5.262,VALID,0.431,777,0.099,SURFACED
1677082118.493,5.065,VALID,0.2,793,0.028,SURFACED
1677082118.693,5.17,VALID,0.332,809,0.099,SURFACED
1677082118.893,5.253,VALID,0.2,825,0.026,SURFACED
1677082119.093,5.25,VALID,0.901,840,0.136,SURFACED
1677082119.293,5.162,VALID,0.2,856,0.103,SURFACED
1677082119.493,5.132,VALID,0.782,872,0.0,SURFACED
1677082119.693,5.104,VALID,0.2,887,0.072,SURFACED
1677082119.893,5.234,VALID,0.303,903,0.032,SURFACED
1677082120.093,5.149,VALID,0.517,919,0.042,SURFACED
1677082120.293,5.366,VALID,0.514,934,0.0,SURFACED
1677082120.493,5.444,VALID,0.288,950,0.0,SURFACED
1677082120.693,5.544,VALID,0.308,966,0.044,SURFACED
1677082120.893,5.503,VALID,0.2,981,0.065,SURFACED
1677082121.093,5.46,VALID,0.666,997,0.084,SURFACED
1677082121.293,5.473,VALID,0.25,1013,0.065,SURFACED
1677082121.493,5.445,VALID,0.2,1028,0.031,SURFACED
1677082121.693,5.492,VALID,0.2,1044,0.049,SURFACED
1677082121.893,5.404,VALID,0.2,1060,0.075,SURFACED
1677082122.093,5.526,VALID,0.27,1071,0.043,SURFACED
1677082122.293,5.517,VALID,0.2,1071,0.071,SURFACED
1677082122.493,5.34,VALID,0.2,1070,0.0,SURFACED
1677082122.693,5.457,VALID,0.245,1069,0.116,SURFACED
1677082122.893,5.393,VALID,0.2,1068,0.098,SURFACED
1677082123.093,5.384,VALID,0.2,1067,0.045,SURFACED
1677082123.293,5.509,VALID,0.203,1065,0.056,SURFACED
1677082123.493,5.494,VALID,0.2,1064,0.0,SURFACED
1677082123.693,5.438,VALID,0.2,1063,0.0,SURFACED
