timestamp,DVL-filtered,validity,rpm,depth,Echo,Label
1676970733.112,6.439,VALID,0,0.014,29.8,SURFACED
1676970733.311,6.56,VALID,0,0.037,30.0,SURFACED
1676970733.512,6.561,VALID,0,0.041,30.0,SURFACED
1676970733.711,6.523,VALID,0,0.081,30.0,SURFACED
1676970733.911,6.483,VALID,0,0.08,30.0,SURFACED
1676970734.111,6.478,VALID,0,0.125,29.348,SURFACED
1676970734.311,6.513,VALID,0,0.044,29.153,SURFACED
1676970734.511,6.53,VALID,0,0.064,30.0,SURFACED
1676970734.711,6.516,VALID,0,0.075,29.812,SURFACED
1676970734.911,6.579,VALID,0,0.075,29.812,SURFACED
1676970734.912,6.579,VALID,0,0.11,30.0,SURFACED
1676970735.111,6.648,VALID,0,0.1,29.973,SURFACED
1676970735.311,6.618,VALID,0,0.056,30.0,SURFACED
1676970735.511,6.545,VALID,0,0.056,30.0,SURFACED
1676970735.512,6.545,VALID,0,0.0,29.946,SURFACED
1676970735.711,6.503,VALID,0,0.02,29.876,SURFACED
1676970735.911,6.528,VALID,0,0.056,30.0,SURFACED
1676970736.111,6.567,VALID,0,0.093,29.877,SURFACED
1676970736.311,6.471,VALID,0,0.028,30.0,SURFACED
1676970736.511,6.518,VALID,0,0.1,30.0,SURFACED
1676970736.711,6.513,VALID,0,0.069,30.0,SURFACED
1676970736.911,6.501,VALID,0,0.037,29.869,SURFACED
1676970737.111,6.632,VALID,0,0.118,30.0,SURFACED
1676970737.311,6.534,VALID,0,0.102,30.0,SURFACED
1676970737.511,6.521,VALID,0,0.026,29.703,SURFACED
1676970737.711,6.576,VALID,0,0.032,30.0,SURFACED
1676970737.911,6.473,VALID,0,0.032,30.0,SURFACED
1676970737.912,6.473,VALID,210,0.037,29.384,SURFACED
1676970738.111,6.511,VALID,276,0.115,13.717,SURFACED
1676970738.311,6.532,VALID,291,0.077,8.055,SURFACED
1676970738.511,6.555,VALID,307,0.112,5.12,SURFACED
1676970738.711,6.526,VALID,323,0.051,3.496,SURFACED
1676970738.911,6.522,VALID,323,0.051,3.496,SURFACED
1676970738.912,6.522,VALID,338,0.066,3.235,SURFACED
1676970739.111,6.529,VALID,338,0.066,3.235,SURFACED
1676970739.112,6.529,VALID,354,0.052,2.077,SURFACED
1676970739.311,6.504,VALID,370,0.034,1.951,SURFACED
1676970739.511,6.494,VALID,385,0.0,1.664,SURFACED
1676970739.711,6.593,VALID,401,0.089,1.407,SURFACED
1676970739.913,6.579,VALID,417,0.044,1.545,SURFACED
1676970740.111,6.529,VALID,417,0.044,1.545,SURFACED
1676970740.112,6.529,VALID,432,0.021,1.136,SURFACED
1676970740.311,6.416,VALID,448,0.116,0.802,SURFACED
1676970740.511,6.55,VALID,464,0.035,0.613,SURFACED
1676970740.711,6.568,VALID,480,0.054,0.984,SURFACED
1676970740.911,6.47,VALID,495,0.114,0.498,SURFACED
1676970741.112,6.553,VALID,511,0.138,0.573,SURFACED
1676970741.311,6.009,VALID,527,0.006,0.603,SURFACED
1676970741.511,6.038,VALID,542,0.008,1.143,SURFACED
1676970741.711,6.009,VALID,542,0.008,1.143,SURFACED
1676970741.712,6.009,VALID,558,0.067,0.709,SURFACED
1676970741.911,6.014,VALID,558,0.067,0.709,SURFACED
1676970741.912,6.014,VALID,574,0.02,0.896,SURFACED
1676970742.111,6.022,VALID,574,0.02,0.896,SURFACED
1676970742.112,6.022,VALID,589,0.086,0.436,SURFACED
1676970742.311,6.108,VALID,605,0.094,0.2,SURFACED
1676970742.511,5.975,VALID,621,0.1,1.084,SURFACED
1676970742.711,6.018,VALID,636,0.1,0.425,SURFACED
1676970742.911,6.03,VALID,652,0.059,0.63,SURFACED
1676970743.111,5.473,VALID,668,0.0,0.451,SURFACED
1676970743.311,5.5,VALID,668,0.0,0.451,SURFACED
1676970743.312,5.5,VALID,683,0.017,0.474,SURFACED
1676970743.511,5.42,VALID,699,0.019,0.44,SURFACED
1676970743.711,5.457,VALID,715,0.044,0.382,SURFACED
1676970743.911,5.443,VALID,730,0.0,0.517,SURFACED
1676970744.111,5.125,VALID,730,0.0,0.517,SURFACED
1676970744.112,5.125,VALID,746,0.018,0.258,SURFACED
1676970744.311,5.185,VALID,762,0.056,0.437,SURFACED
1676970744.511,5.191,VALID,777,0.062,0.25,SURFACED
1676970744.711,5.119,VALID,793,0.051,0.464,SURFACED
1676970744.911,5.179,VALID,809,0.1,0.401,SURFACED
1676970745.111,5.114,VALID,825,0.058,0.355,SURFACED
1676970745.311,5.177,VALID,840,0.074,0.365,SURFACED
1676970745.511,5.041,VALID,856,0.034,0.2,SURFACED
1676970745.711,5.135,VALID,872,0.0,0.797,SURFACED
1676970745.911,5.167,VALID,872,0.0,0.797,SURFACED
1676970745.912,5.167,VALID,887,0.017,0.2,SURFACED
1676970746.111,5.229,VALID,887,0.017,0.2,SURFACED
1676970746.112,5.229,VALID,903,0.029,0.2,SURFACED
1676970746.311,5.239,VALID,919,0.087,0.211,SURFACED
1676970746.511,5.375,VALID,919,0.087,0.211,SURFACED
1676970746.512,5.375,VALID,934,0.0,0.457,SURFACED
1676970746.711,5.454,VALID,950,0.094,0.293,SURFACED
1676970746.911,5.378,VALID,966,0.056,0.2,SURFACED
1676970747.111,5.426,VALID,966,0.056,0.2,SURFACED
1676970747.112,5.426,VALID,981,0.006,0.335,SURFACED
1676970747.311,5.525,VALID,997,0.039,0.351,SURFACED
1676970747.511,5.421,VALID,1013,0.048,0.785,SURFACED
1676970747.711,5.394,VALID,1028,0.094,0.352,SURFACED
1676970747.911,5.544,VALID,1044,0.128,0.656,SURFACED
1676970748.111,5.543,VALID,1060,0.0,0.937,SURFACED
1676970748.311,5.506,VALID,1060,0.0,0.937,SURFACED
1676970748.312,5.506,VALID,1071,0.016,0.532,SURFACED
1676970748.511,5.381,VALID,1071,0.012,0.242,SURFACED
1676970748.711,5.438,VALID,1070,0.155,0.426,SURFACED
1676970748.911,5.437,VALID,1069,0.116,0.2,SURFACED
1676970749.111,5.465,VALID,1068,0.0,0.2,SURFACED
1676970749.311,5.49,VALID,1066,0.095,0.517,SURFACED
1676970749.511,5.356,VALID,1065,0.009,0.2,SURFACED
1676970749.711,5.483,VALID,1064,0.093,0.2,SURFACED
1676970749.911,5.473,VALID,1063,0.099,0.2,SURFACED
1676970750.111,5.579,VALID,1061,0.0,0.2,SURFACED
1676970750.311,5.437,VALID,1060,0.003,0.2,SURFACED
1676970750.511,5.424,VALID,1059,0.096,0.2,SURFACED
1676970750.711,5.439,VALID,1058,0.149,0.349,SURFACED
1676970750.912,5.422,VALID,1056,0.101,0.531,SURFACED
1676970751.111,5.422,VALID,1055,0.074,0.2,SURFACED
1676970751.311,5.448,VALID,1054,0.023,0.341,SURFACED
1676970751.511,5.448,VALID,1053,0.014,0.466,SURFACED
1676970751.711,5.471,VALID,1052,0.019,0.2,SURFACED
1676970751.911,5.457,VALID,1050,0.004,0.2,SURFACED
1676970752.111,5.424,VALID,1049,0.093,0.2,SURFACED
1676970752.311,5.437,VALID,1048,0.048,0.2,SURFACED
1676970752.511,5.374,VALID,1047,0.049,0.301,SURFACED
1676970752.711,5.432,VALID,1045,0.0,0.455,SURFACED
1676970752.911,5.482,VALID,1044,0.007,0.2,SURFACED
1676970753.111,5.437,VALID,1044,0.007,0.2,SURFACED
1676970753.112,5.437,VALID,1043,0.105,0.486,SURFACED
1676970753.311,5.419,VALID,1041,0.04,0.2,SURFACED
1676970753.511,5.507,VALID,1040,0.102,0.283,SURFACED
1676970753.711,5.514,VALID,1039,0.016,0.2,SURFACED
1676970753.911,5.375,VALID,1037,0.013,0.2,SURFACED
1676970754.111,5.449,VALID,1036,0.071,0.2,SURFACED
1676970754.311,5.484,VALID,1035,0.039,0.362,SURFACED
1676970754.511,5.45,VALID,1034,0.092,0.369,SURFACED
1676970754.711,5.414,VALID,1032,0.06,0.2,SURFACED
1676970754.911,5.487,VALID,1031,0.059,0.267,SURFACED
1676970755.111,5.485,VALID,1030,0.06,0.2,SURFACED
1676970755.311,5.441,VALID,1029,0.148,0.2,SURFACED
1676970755.511,5.457,VALID,1028,0.0,0.2,SURFACED
1676970755.711,5.415,VALID,1026,0.097,0.2,SURFACED
1676970755.911,6.523,VALID,1025,0.017,0.475,SURFACED
1676970756.111,6.589,VALID,1024,0.093,0.2,SURFACED
1676970756.311,6.555,VALID,1023,0.0,0.29,SURFACED
1676970756.511,6.766,VALID,1022,0.081,0.2,SURFACED
1676970756.711,6.727,VALID,1020,0.046,0.2,SURFACED
1676970756.911,6.774,VALID,1019,0.0,0.472,SURFACED
1676970757.111,6.76,VALID,1018,0.0,0.33,SURFACED
1676970757.311,6.083,VALID,1017,0.021,0.2,SURFACED
1676970757.511,6.208,VALID,1016,0.012,0.489,SURFACED
1676970757.711,6.165,VALID,1015,0.087,0.2,SURFACED
1676970757.911,6.114,VALID,1013,0.0,0.2,SURFACED
1676970758.111,6.155,VALID,1012,0.0,0.2,SURFACED
1676970758.311,6.109,VALID,1011,0.027,0.617,SURFACED
1676970758.511,6.143,VALID,1010,0.07,0.563,SURFACED
1676970758.711,6.098,VALID,1009,0.106,0.814,SURFACED
1676970758.911,6.194,VALID,1008,0.035,0.2,SURFACED
1676970759.111,6.166,VALID,1008,0.035,0.2,SURFACED
1676970759.112,6.166,VALID,1007,0.021,0.222,SURFACED
1676970759.311,6.109,VALID,1006,0.062,0.2,SURFACED
1676970759.512,6.162,VALID,1005,0.0,0.205,SURFACED
1676970759.711,6.189,VALID,1005,0.0,0.205,SURFACED
1676970759.712,6.189,VALID,1003,0.073,0.2,SURFACED
1676970759.911,6.176,VALID,1002,0.007,0.286,SURFACED
1676970760.111,6.171,VALID,1001,0.064,0.266,SURFACED
1676970760.311,6.23,VALID,1000,0.065,0.2,SURFACED
1676970760.511,6.146,VALID,999,0.01,0.395,SURFACED
1676970760.711,6.14,VALID,998,0.0,0.341,SURFACED
1676970760.911,6.161,VALID,997,0.02,0.2,SURFACED
1676970761.111,6.232,VALID,996,0.025,0.2,SURFACED
1676970761.311,6.116,VALID,995,0.073,0.2,SURFACED
1676970761.511,6.227,VALID,994,0.035,0.478,SURFACED
1676970761.711,6.142,VALID,993,0.065,0.529,SURFACED
1676970761.911,6.208,VALID,992,0.012,0.2,SURFACED
1676970762.111,6.112,VALID,991,0.009,0.2,SURFACED
1676970762.311,6.135,VALID,990,0.0,0.51,SURFACED
1676970762.512,6.269,VALID,989,0.0,0.2,SURFACED
1676970762.711,6.219,VALID,988,0.087,0.2,SURFACED
1676970762.911,6.267,VALID,987,0.071,0.2,SURFACED
1676970763.111,6.098,VALID,987,0.071,0.2,SURFACED
1676970763.112,6.098,VALID,986,0.047,0.2,SURFACED
1676970763.311,6.19,VALID,985,0.088,0.706,SURFACED
1676970763.511,6.194,VALID,984,0.121,0.421,SURFACED
1676970763.711,6.039,VALID,983,0.021,0.413,SURFACED
1676970763.911,6.287,VALID,983,0.021,0.413,SURFACED
1676970763.912,6.287,VALID,982,0.076,0.2,SURFACED
1676970764.111,6.193,VALID,981,0.062,0.558,SURFACED
1676970764.311,6.252,VALID,980,0.06,0.213,SURFACED
1676970764.511,6.131,VALID,979,0.073,0.54,SURFACED
1676970764.711,6.269,VALID,978,0.0,0.2,SURFACED
1676970764.911,6.325,VALID,977,0.114,0.2,SURFACED
1676970765.111,6.308,VALID,976,0.044,0.2,SURFACED
1676970765.311,6.295,VALID,975,0.113,0.592,SURFACED
1676970765.511,6.313,VALID,975,0.0,0.2,SURFACED
1676970765.711,6.162,VALID,974,0.106,0.619,SURFACED
1676970765.911,6.204,VALID,973,0.004,0.2,SURFACED
1676970766.111,6.281,VALID,972,0.0,0.679,SURFACED
1676970766.311,6.217,VALID,971,0.04,0.388,SURFACED
1676970766.511,6.332,VALID,971,0.04,0.388,SURFACED
1676970766.512,6.332,VALID,970,0.0,0.2,SURFACED
1676970766.711,6.352,VALID,969,0.091,0.745,SURFACED
1676970766.911,6.271,VALID,969,0.091,0.745,SURFACED
1676970766.912,6.271,VALID,968,0.045,0.486,SURFACED
1676970767.111,6.295,VALID,967,0.06,0.2,SURFACED
1676970767.311,6.251,VALID,967,0.06,0.2,SURFACED
1676970767.312,6.251,VALID,967,0.065,0.225,SURFACED
1676970767.511,6.359,VALID,967,0.065,0.225,SURFACED
1676970767.512,6.359,VALID,966,0.053,0.307,SURFACED
1676970767.711,6.2,VALID,965,0.0,0.814,SURFACED
1676970767.911,6.191,VALID,964,0.035,0.2,SURFACED
1676970768.111,6.14,VALID,963,0.059,0.2,SURFACED
1676970768.311,6.252,VALID,963,0.059,0.2,SURFACED
1676970768.312,6.252,VALID,962,0.071,0.555,SURFACED
1676970768.511,6.25,VALID,961,0.056,0.2,SURFACED
1676970768.711,6.298,VALID,961,0.062,0.2,SURFACED
1676970768.911,6.328,VALID,960,0.188,0.287,SURFACED
1676970769.111,6.283,VALID,959,0.036,0.2,SURFACED
1676970769.311,6.178,VALID,958,0.042,0.2,SURFACED
1676970769.511,6.28,VALID,957,0.023,0.2,SURFACED
1676970769.711,6.26,VALID,957,0.009,0.538,SURFACED
1676970769.912,6.221,VALID,956,0.03,0.2,SURFACED
1676970770.111,6.315,VALID,955,0.0,0.2,SURFACED
1676970770.311,6.291,VALID,954,0.105,0.2,SURFACED
1676970770.511,6.312,VALID,953,0.06,0.2,SURFACED
1676970770.711,6.234,VALID,953,0.06,0.2,SURFACED
1676970770.712,6.234,VALID,953,0.093,0.2,SURFACED
1676970770.911,6.235,VALID,952,0.076,0.2,SURFACED
1676970771.111,6.164,VALID,953,0.065,0.2,SURFACED
1676970771.311,6.317,VALID,967,0.101,0.253,SURFACED
1676970771.511,6.179,VALID,982,0.032,0.329,SURFACED
1676970771.711,6.258,VALID,998,0.051,0.283,SURFACED
1676970771.911,6.251,VALID,1014,0.041,0.746,SURFACED
1676970772.111,6.297,VALID,1029,0.022,1.753,SURFACED
1676970772.311,6.263,VALID,1045,0.08,29.816,SURFACED
1676970772.511,6.267,VALID,1061,0.095,29.989,SURFACED
1676970772.711,6.181,VALID,1061,0.095,29.989,SURFACED
1676970772.712,6.181,VALID,1076,0.043,29.976,SURFACED
1676970772.911,6.265,VALID,1092,0.128,29.866,SURFACED
1676970773.111,6.184,VALID,1108,0.138,25.806,SURFACED
1676970773.311,5.998,VALID,1123,0.137,23.443,SURFACED
1676970773.511,5.919,VALID,1139,0.171,22.163,SURFACED
1676970773.711,5.988,VALID,1155,0.237,20.819,TRACKING
1676970773.911,5.859,VALID,1171,0.244,20.225,TRACKING
1676970774.111,5.922,VALID,1186,0.432,20.306,TRACKING
1676970774.311,5.747,VALID,1202,0.342,20.051,TRACKING
1676970774.511,5.796,VALID,1218,0.429,18.748,TRACKING
1676970774.711,5.725,VALID,1233,0.47,18.609,TRACKING
1676970774.911,5.623,VALID,1242,0.582,18.857,TRACKING
1676970775.111,5.646,VALID,1241,0.597,18.241,TRACKING
1676970775.311,5.519,VALID,1240,0.623,17.604,TRACKING
1676970775.511,5.432,VALID,1239,0.694,17.981,TRACKING
1676970775.711,5.306,VALID,1238,0.788,17.425,TRACKING
1676970775.911,5.234,VALID,1238,0.788,17.425,TRACKING
1676970775.912,5.234,VALID,1236,0.841,17.302,TRACKING
1676970776.111,5.163,VALID,1235,0.889,16.855,TRACKING
1676970776.311,5.126,VALID,1234,0.987,16.718,TRACKING
1676970776.511,5.092,VALID,1234,0.987,16.718,TRACKING
1676970776.512,5.092,VALID,1233,1.077,16.484,TRACKING
1676970776.711,5.011,VALID,1231,1.185,16.021,TRACKING
1676970776.911,4.921,VALID,1230,1.379,15.731,TRACKING
1676970777.111,4.906,VALID,1229,1.273,15.487,TRACKING
1676970777.311,4.857,VALID,1228,1.46,16.092,TRACKING
1676970777.511,4.794,VALID,1227,1.482,15.372,TRACKING
1676970777.711,4.677,VALID,1225,1.547,15.152,TRACKING
1676970777.911,4.627,VALID,1225,1.547,15.152,TRACKING
1676970777.912,4.627,VALID,1224,1.603,15.086,TRACKING
1676970778.111,4.59,VALID,1224,1.603,15.086,TRACKING
1676970778.112,4.59,VALID,1223,1.619,14.738,TRACKING
1676970778.311,4.497,VALID,1222,1.704,15.071,TRACKING
