timestamp,DVL-filtered,validity,Echo,rpm,depth,Label
1676288800.338,6.542,VALID,14.945,0,0.082,SURFACED
1676288800.538,6.589,VALID,13.492,0,0.061,SURFACED
1676288800.738,6.505,VALID,13.912,0,0.048,SURFACED
1676288800.938,6.462,VALID,15.959,0,0.088,SURFACED
1676288801.138,6.524,VALID,17.871,0,0.014,SURFACED
1676288801.338,6.424,VALID,17.579,0,0.056,SURFACED
1676288801.538,6.515,VALID,16.665,0,0.045,SURFACED
1676288801.738,6.507,VALID,18.528,0,0.035,SURFACED
1676288801.938,6.517,VALID,21.433,0,0.075,SURFACED
1676288802.138,6.443,VALID,21.753,0,0.0,SURFACED
1676288802.338,6.581,VALID,19.599,0,0.05,SURFACED
1676288802.538,6.579,VALID,20.192,0,0.037,SURFACED
1676288802.738,6.558,VALID,25.089,0,0.007,SURFACED
1676288802.938,6.493,VALID,27.743,0,0.072,SURFACED
1676288803.138,6.488,VALID,24.447,0,0.049,SURFACED
1676288803.338,6.595,VALID,24.124,0,0.0,SURFACED
1676288803.538,6.521,VALID,28.497,0,0.081,SURFACED
1676288803.738,6.518,VALID,29.675,0,0.0,SURFACED
1676288803.938,6.486,VALID,29.846,0,0.007,SURFACED
1676288804.138,6.52,VALID,28.474,0,0.071,SURFACED
1676288804.338,6.565,VALID,30.0,0,0.027,SURFACED
1676288804.538,6.506,VALID,29.56,0,0.037,SURFACED
1676288804.738,6.436,VALID,28.122,0,0.016,SURFACED
1676288804.938,6.614,VALID,16.501,210,0.095,SURFACED
1676288805.138,6.471,VALID,10.518,276,0.044,SURFACED
1676288805.338,6.606,VALID,6.866,291,0.077,SURFACED
1676288805.538,6.611,VALID,3.834,307,0.105,SURFACED
1676288805.738,6.59,VALID,3.401,323,0.017,SURFACED
1676288805.938,6.536,VALID,2.318,338,0.015,SURFACED
1676288806.138,6.592,VALID,2.062,354,0.032,SURFACED
1676288806.338,6.528,VALID,1.794,370,0.006,SURFACED
1676288806.538,6.479,VALID,1.645,385,0.026,SURFACED
1676288806.738,6.567,VALID,1.705,401,0.089,SURFACED
1676288806.938,6.539,VALID,1.198,417,0.082,SURFACED
1676288807.138,6.629,VALID,1.184,432,0.094,SURFACED
1676288807.338,6.518,VALID,1.737,448,0.0,SURFACED
1676288807.538,6.545,VALID,1.17,464,0.007,SURFACED
1676288807.738,6.652,VALID,0.713,480,0.103,SURFACED
1676288807.938,6.604,VALID,1.031,495,0.118,SURFACED
1676288808.138,6.569,VALID,0.409,511,0.0,SURFACED
1676288808.338,6.052,VALID,0.582,527,0.064,SURFACED
1676288808.538,6.095,VALID,0.435,542,0.043,SURFACED
1676288808.738,6.042,VALID,0.672,558,0.107,SURFACED
1676288808.938,6.03,VALID,0.561,574,0.037,SURFACED
1676288809.138,6.048,VALID,0.911,589,0.043,SURFACED
1676288809.338,5.993,VALID,0.716,605,0.02,SURFACED
1676288809.538,6.163,VALID,0.87,621,0.0,SURFACED
1676288809.738,6.034,VALID,0.225,636,0.061,SURFACED
1676288809.938,5.935,VALID,0.841,652,0.063,SURFACED
1676288810.138,5.458,VALID,0.2,668,0.204,SURFACED
1676288810.338,5.484,VALID,0.92,683,0.04,SURFACED
1676288810.538,5.395,VALID,0.2,699,0.004,SURFACED
1676288810.738,5.501,VALID,0.441,715,0.111,SURFACED
1676288810.938,5.51,VALID,0.2,730,0.076,SURFACED
1676288811.138,5.475,VALID,1.033,746,0.028,SURFACED
1676288811.338,5.134,VALID,0.2,762,0.0,SURFACED
1676288811.538,5.208,VALID,0.2,777,0.0,SURFACED
1676288811.738,5.147,VALID,0.308,793,0.0,SURFACED
1676288811.938,5.172,VALID,0.2,809,0.107,SURFACED
1676288812.138,5.106,VALID,0.273,825,0.063,SURFACED
1676288812.338,5.135,VALID,0.484,840,0.054,SURFACED
1676288812.538,5.145,VALID,0.2,856,0.062,SURFACED
1676288812.738,5.192,VALID,0.601,872,0.116,SURFACED
1676288812.938,5.057,VALID,0.347,887,0.066,SURFACED
1676288813.138,5.149,VALID,0.354,903,0.047,SURFACED
1676288813.338,5.438,VALID,0.2,919,0.087,SURFACED
1676288813.538,5.508,VALID,0.314,934,0.032,SURFACED
1676288813.738,5.439,VALID,0.2,950,0.023,SURFACED
1676288813.938,5.419,VALID,0.2,966,0.054,SURFACED
1676288814.138,5.341,VALID,0.316,981,0.0,SURFACED
1676288814.338,5.581,VALID,0.334,997,0.04,SURFACED
1676288814.538,5.459,VALID,0.266,1013,0.025,SURFACED
1676288814.738,5.345,VALID,0.248,1028,0.0,SURFACED
1676288814.938,5.492,VALID,0.2,1044,0.036,SURFACED
1676288815.138,5.434,VALID,0.2,1060,0.0,SURFACED
1676288815.338,5.409,VALID,0.494,1072,0.014,SURFACED
1676288815.538,5.472,VALID,0.326,1072,0.054,SURFACED
1676288815.738,5.487,VALID,0.428,1071,0.092,SURFACED
1676288815.938,5.436,VALID,0.2,1069,0.078,SURFACED
1676288816.138,5.441,VALID,0.2,1068,0.05,SURFACED
1676288816.338,5.338,VALID,0.381,1067,0.123,SURFACED
1676288816.538,5.453,VALID,0.411,1065,0.0,SURFACED
1676288816.738,5.554,VALID,0.2,1064,0.048,SURFACED
1676288816.938,5.493,VALID,0.256,1063,0.0,SURFACED
1676288817.138,5.457,VALID,0.773,1062,0.0,SURFACED
1676288817.338,5.477,VALID,0.2,1060,0.039,SURFACED
1676288817.538,5.494,VALID,0.2,1059,0.071,SURFACED
1676288817.738,5.485,VALID,0.641,1058,0.022,SURFACED
1676288817.938,5.371,VALID,0.2,1057,0.071,SURFACED
1676288818.138,5.447,VALID,0.2,1056,0.063,SURFACED
1676288818.338,5.386,VALID,0.2,1054,0.0,SURFACED
1676288818.538,5.452,VALID,0.2,1053,0.006,SURFACED
1676288818.738,5.5,VALID,0.312,1052,0.0,SURFACED
1676288818.938,5.438,VALID,0.375,1051,0.0,SURFACED
1676288819.138,5.479,VALID,0.2,1050,0.011,SURFACED
1676288819.338,5.422,VALID,0.2,1048,0.023,SURFACED
1676288819.538,5.464,VALID,0.401,1047,0.083,SURFACED
1676288819.738,5.517,VALID,0.2,1046,0.068,SURFACED
1676288819.938,5.434,VALID,0.827,1044,0.0,SURFACED
1676288820.138,5.429,VALID,0.556,1043,0.0,SURFACED
1676288820.338,5.454,VALID,0.2,1042,0.058,SURFACED
1676288820.538,5.462,VALID,0.2,1040,0.021,SURFACED
1676288820.738,5.456,VALID,0.2,1039,0.037,SURFACED
1676288820.938,5.473,VALID,0.2,1038,0.095,SURFACED
1676288821.138,5.441,VALID,0.2,1036,0.024,SURFACED
1676288821.338,5.428,VALID,0.547,1035,0.047,SURFACED
1676288821.538,5.437,VALID,0.2,1034,0.061,SURFACED
1676288821.738,5.43,VALID,0.2,1033,0.0,SURFACED
1676288821.938,5.483,VALID,0.319,1032,0.113,SURFACED
1676288822.138,5.463,VALID,0.437,1030,0.092,SURFACED
1676288822.338,5.446,VALID,0.2,1029,0.064,SURFACED
1676288822.538,5.408,VALID,0.382,1028,0.02,SURFACED
1676288822.738,5.509,VALID,0.241,1027,0.003,SURFACED
1676288822.938,6.577,VALID,0.2,1026,0.059,SURFACED
1676288823.138,6.482,VALID,0.2,1024,0.073,SURFACED
1676288823.338,6.404,VALID,0.2,1023,0.066,SURFACED
1676288823.538,6.736,VALID,0.2,1022,0.018,SURFACED
1676288823.738,6.768,VALID,0.583,1021,0.0,SURFACED
1676288823.938,6.703,VALID,0.36,1020,0.0,SURFACED
1676288824.138,6.746,VALID,0.2,1018,0.046,SURFACED
1676288824.338,6.093,VALID,0.2,1017,0.032,SURFACED
1676288824.538,6.039,VALID,0.2,1016,0.069,SURFACED
1676288824.738,6.14,VALID,0.2,1015,0.0,SURFACED
1676288824.938,6.196,VALID,0.2,1014,0.088,SURFACED
1676288825.138,6.096,VALID,0.356,1013,0.0,SURFACED
1676288825.338,6.232,VALID,0.2,1012,0.095,SURFACED
1676288825.538,6.21,VALID,0.2,1010,0.113,SURFACED
1676288825.738,6.175,VALID,0.2,1009,0.079,SURFACED
1676288825.938,6.16,VALID,0.526,1008,0.046,SURFACED
1676288826.138,6.144,VALID,0.2,1007,0.017,SURFACED
1676288826.338,6.088,VALID,0.2,1006,0.077,SURFACED
1676288826.538,6.175,VALID,0.2,1005,0.095,SURFACED
1676288826.738,6.184,VALID,0.2,1004,0.113,SURFACED
1676288826.938,6.189,VALID,0.244,1003,0.059,SURFACED
1676288827.138,6.183,VALID,0.262,1002,0.013,SURFACED
1676288827.338,6.204,VALID,0.2,1001,0.114,SURFACED
1676288827.538,6.195,VALID,0.323,999,0.0,SURFACED
1676288827.738,6.133,VALID,0.304,998,0.064,SURFACED
1676288827.938,6.171,VALID,0.379,997,0.0,SURFACED
1676288828.138,6.116,VALID,0.2,996,0.068,SURFACED
1676288828.338,6.188,VALID,0.63,995,0.086,SURFACED
1676288828.538,6.161,VALID,0.477,994,0.073,SURFACED
1676288828.738,6.24,VALID,0.2,993,0.097,SURFACED
1676288828.938,6.129,VALID,0.507,992,0.124,SURFACED
1676288829.138,6.142,VALID,0.2,991,0.019,SURFACED
1676288829.338,6.16,VALID,0.362,990,0.0,SURFACED
1676288829.538,6.21,VALID,0.2,989,0.144,SURFACED
1676288829.738,6.131,VALID,0.2,988,0.085,SURFACED
1676288829.938,6.128,VALID,0.2,987,0.0,SURFACED
1676288830.138,6.196,VALID,0.2,986,0.039,SURFACED
1676288830.338,6.221,VALID,0.2,985,0.079,SURFACED
1676288830.538,6.23,VALID,0.2,984,0.097,SURFACED
1676288830.738,6.123,VALID,0.692,983,0.146,SURFACED
1676288830.938,6.107,VALID,0.2,982,0.07,SURFACED
1676288831.138,6.216,VALID,0.2,981,0.0,SURFACED
1676288831.338,6.218,VALID,0.622,980,0.085,SURFACED
1676288831.538,6.297,VALID,0.2,979,0.046,SURFACED
1676288831.738,6.205,VALID,0.2,978,0.0,SURFACED
1676288831.938,6.34,VALID,0.2,978,0.043,SURFACED
1676288832.138,6.229,VALID,0.2,977,0.026,SURFACED
1676288832.338,6.315,VALID,0.2,976,0.113,SURFACED
1676288832.538,6.235,VALID,0.2,975,0.082,SURFACED
1676288832.738,6.364,VALID,0.2,974,0.035,SURFACED
1676288832.938,6.286,VALID,0.2,973,0.026,SURFACED
1676288833.138,6.188,VALID,0.2,972,0.0,SURFACED
1676288833.338,6.251,VALID,0.2,971,0.038,SURFACED
1676288833.538,6.191,VALID,0.696,970,0.044,SURFACED
1676288833.738,6.336,VALID,0.2,969,0.107,SURFACED
1676288833.938,6.273,VALID,0.2,968,0.0,SURFACED
1676288834.138,6.342,VALID,0.2,968,0.0,SURFACED
1676288834.338,6.222,VALID,0.2,967,0.141,SURFACED
1676288834.538,6.298,VALID,0.2,966,0.059,SURFACED
1676288834.738,6.248,VALID,0.2,965,0.055,SURFACED
1676288834.938,6.189,VALID,0.2,964,0.122,SURFACED
1676288835.138,6.187,VALID,0.319,963,0.02,SURFACED
1676288835.338,6.32,VALID,0.2,962,0.0,SURFACED
1676288835.538,6.261,VALID,0.2,962,0.028,SURFACED
1676288835.738,6.14,VALID,0.2,961,0.068,SURFACED
1676288835.938,6.299,VALID,0.68,960,0.055,SURFACED
1676288836.138,6.232,VALID,0.2,959,0.003,SURFACED
1676288836.338,6.171,VALID,0.2,958,0.05,SURFACED
1676288836.538,6.216,VALID,0.2,957,0.0,SURFACED
1676288836.738,6.224,VALID,0.2,957,0.005,SURFACED
1676288836.938,6.276,VALID,0.327,956,0.0,SURFACED
1676288837.138,6.276,VALID,0.228,955,0.041,SURFACED
1676288837.338,6.207,VALID,0.279,954,0.021,SURFACED
1676288837.538,6.196,VALID,0.2,953,0.0,SURFACED
1676288837.738,6.332,VALID,0.885,953,0.044,SURFACED
1676288837.938,6.226,VALID,0.467,952,0.0,SURFACED
1676288838.138,6.302,VALID,0.315,951,0.01,SURFACED
1676288838.338,6.318,VALID,0.2,950,0.062,SURFACED
1676288838.538,6.268,VALID,0.425,949,0.0,SURFACED
1676288838.738,6.245,VALID,0.459,949,0.0,SURFACED
1676288838.938,6.327,VALID,0.654,948,0.054,SURFACED
1676288839.138,6.277,VALID,1.473,947,0.016,SURFACED
1676288839.338,6.279,VALID,29.766,946,0.024,SURFACED
1676288839.538,6.224,VALID,29.883,945,0.056,SURFACED
1676288839.738,6.161,VALID,30.0,944,0.042,SURFACED
1676288839.938,6.27,VALID,30.0,944,0.098,SURFACED
1676288840.138,6.14,VALID,27.757,943,0.132,SURFACED
1676288840.338,6.002,VALID,24.551,942,0.092,SURFACED
1676288840.538,5.95,VALID,22.872,941,0.141,SURFACED
1676288840.738,6.011,VALID,22.056,940,0.106,SURFACED
1676288840.938,5.905,VALID,21.268,940,0.226,SURFACED
1676288841.138,5.942,VALID,21.503,939,0.142,SURFACED
1676288841.338,5.921,VALID,20.24,938,0.253,TRACKING
1676288841.538,5.789,VALID,19.807,937,0.248,TRACKING
1676288841.738,5.932,VALID,19.372,936,0.343,TRACKING
1676288841.938,5.855,VALID,19.533,936,0.33,TRACKING
1676288842.138,5.763,VALID,19.045,935,0.452,TRACKING
1676288842.338,5.715,VALID,18.614,934,0.404,TRACKING
1676288842.538,5.642,VALID,18.485,933,0.55,TRACKING
1676288842.738,5.548,VALID,18.674,932,0.519,TRACKING
1676288842.938,5.652,VALID,18.355,932,0.605,TRACKING
1676288843.138,5.515,VALID,18.184,931,0.676,TRACKING
1676288843.338,5.479,VALID,17.913,930,0.734,TRACKING
1676288843.538,5.446,VALID,17.466,929,0.752,TRACKING
1676288843.738,5.34,VALID,18.034,928,0.845,TRACKING
1676288843.938,5.327,VALID,17.414,928,0.869,TRACKING
1676288844.138,5.283,VALID,17.224,927,0.877,TRACKING
1676288844.338,5.287,VALID,17.374,926,0.969,TRACKING
1676288844.538,5.146,VALID,16.827,925,1.019,TRACKING
1676288844.738,5.05,VALID,16.641,924,1.054,TRACKING
1676288844.938,5.136,VALID,16.392,924,1.203,TRACKING
1676288845.138,5.047,VALID,16.796,923,1.229,TRACKING
1676288845.338,5.052,VALID,16.528,922,1.148,TRACKING
1676288845.538,5.034,VALID,16.531,921,1.217,TRACKING
1676288845.738,4.957,VALID,16.441,921,1.171,TRACKING
1676288845.938,4.9,VALID,16.497,920,1.336,TRACKING
1676288846.138,4.787,VALID,16.195,919,1.25,TRACKING
1676288846.338,4.836,VALID,16.775,918,1.518,TRACKING
1676288846.538,4.88,VALID,16.494,918,1.457,TRACKING
1676288846.738,4.72,VALID,17.451,917,1.552,TRACKING
1676288846.938,4.722,VALID,18.171,916,1.549,TRACKING
