timestamp,DVL-filtered,validity,Echo,rpm,depth,Label
1678715726.963,6.526,VALID,29.958,0,0.095,SURFACED
1678715727.163,6.475,VALID,29.978,0,0.0,SURFACED
1678715727.363,6.568,VALID,30.0,0,0.08,SURFACED
1678715727.563,6.465,VALID,30.0,0,0.0,SURFACED
1678715727.763,6.564,VALID,29.657,0,0.141,SURFACED
1678715727.963,6.549,VALID,30.0,0,0.0,SURFACED
1678715728.163,6.485,VALID,29.917,0,0.137,SURFACED
1678715728.363,6.614,VALID,30.0,0,0.089,SURFACED
1678715728.563,6.563,VALID,30.0,0,0.0,SURFACED
1678715728.763,6.553,VALID,30.0,0,0.099,SURFACED
1678715728.963,6.48,VALID,29.799,0,0.0,SURFACED
1678715729.163,6.579,VALID,29.812,0,0.185,SURFACED
1678715729.363,6.495,VALID,30.0,0,0.133,SURFACED
1678715729.563,6.616,VALID,30.0,0,0.0,SURFACED
1678715729.763,6.575,VALID,30.0,0,0.0,SURFACED
1678715729.963,6.559,VALID,29.897,0,0.116,SURFACED
1678715730.163,6.618,VALID,29.585,0,0.0,SURFACED
1678715730.363,6.562,VALID,30.0,0,0.024,SURFACED
1678715730.563,6.496,VALID,29.879,0,0.109,SURFACED
1678715730.763,6.523,VALID,30.0,0,0.159,SURFACED
1678715730.963,6.536,VALID,29.756,0,0.0,SURFACED
1678715731.163,6.581,VALID,30.0,0,0.22,SURFACED
1678715731.363,6.551,VALID,29.838,0,0.028,SURFACED
1678715731.563,6.581,VALID,30.0,156,0.01,SURFACED
1678715731.763,6.504,VALID,16.036,272,0.092,SURFACED
1678715731.963,6.562,VALID,9.28,287,0.102,SURFACED
1678715732.163,6.538,VALID,6.228,303,0.165,SURFACED
1678715732.363,6.568,VALID,4.395,319,0.039,SURFACED
1678715732.563,6.557,VALID,2.166,334,0.0,SURFACED
1678715732.763,6.593,VALID,2.321,350,0.027,SURFACED
1678715732.963,6.594,VALID,2.189,366,0.097,SURFACED
1678715733.163,6.522,VALID,2.011,382,0.0,SURFACED
1678715733.363,6.494,VALID,0.992,397,0.043,SURFACED
1678715733.563,6.518,VALID,1.487,413,0.105,SURFACED
1678715733.763,6.514,VALID,0.785,429,0.082,SURFACED
1678715733.963,6.564,VALID,0.884,444,0.0,SURFACED
1678715734.163,6.598,VALID,0.543,460,0.054,SURFACED
1678715734.363,6.562,VALID,1.041,476,0.063,SURFACED
1678715734.563,6.542,VALID,0.712,491,0.0,SURFACED
1678715734.763,6.582,VALID,0.693,507,0.104,SURFACED
1678715734.963,5.97,VALID,0.548,523,0.177,SURFACED
1678715735.163,6.016,VALID,0.2,538,0.0,SURFACED
1678715735.363,6.184,VALID,0.641,554,0.165,SURFACED
1678715735.563,6.142,VALID,0.2,570,0.121,SURFACED
1678715735.763,6.054,VALID,0.277,585,0.145,SURFACED
1678715735.963,6.048,VALID,0.234,601,0.0,SURFACED
1678715736.163,5.994,VALID,0.488,617,0.0,SURFACED
1678715736.363,6.028,VALID,0.2,632,0.072,SURFACED
1678715736.563,6.095,VALID,0.2,648,0.05,SURFACED
1678715736.763,5.466,VALID,0.488,664,0.157,SURFACED
1678715736.963,5.371,VALID,0.249,679,0.023,SURFACED
1678715737.163,5.354,VALID,0.662,695,0.0,SURFACED
1678715737.363,5.501,VALID,0.628,711,0.0,SURFACED
1678715737.563,5.504,VALID,0.2,727,0.051,SURFACED
1678715737.763,5.494,VALID,0.482,742,0.23,SURFACED
1678715737.963,5.198,VALID,0.2,758,0.0,SURFACED
1678715738.163,5.168,VALID,0.874,774,0.127,SURFACED
1678715738.363,5.22,VALID,0.383,789,0.2,SURFACED
1678715738.563,5.218,VALID,0.2,805,0.099,SURFACED
1678715738.763,5.061,VALID,1.089,821,0.023,SURFACED
1678715738.963,5.202,VALID,0.2,836,0.132,SURFACED
1678715739.163,5.177,VALID,0.2,852,0.0,SURFACED
1678715739.363,4.981,VALID,0.25,868,0.022,SURFACED
1678715739.563,5.214,VALID,0.2,883,0.069,SURFACED
1678715739.763,5.154,VALID,0.586,899,0.071,SURFACED
1678715739.963,5.092,VALID,0.334,915,0.162,SURFACED
1678715740.163,5.496,VALID,0.344,930,0.0,SURFACED
1678715740.363,5.394,VALID,0.797,946,0.109,SURFACED
1678715740.563,5.477,VALID,0.2,962,0.021,SURFACED
1678715740.763,5.399,VALID,0.429,977,0.021,SURFACED
1678715740.963,5.47,VALID,0.2,993,0.0,SURFACED
1678715741.163,5.45,VALID,0.669,1009,0.203,SURFACED
1678715741.363,5.457,VALID,0.2,1025,0.0,SURFACED
1678715741.563,5.433,VALID,0.553,1040,0.157,SURFACED
1678715741.763,5.455,VALID,0.2,1056,0.162,SURFACED
1678715741.963,5.41,VALID,0.2,1070,0.147,SURFACED
1678715742.163,5.439,VALID,0.676,1072,0.0,SURFACED
1678715742.363,5.446,VALID,0.227,1071,0.1,SURFACED
1678715742.563,5.444,VALID,0.2,1070,0.0,SURFACED
1678715742.763,5.397,VALID,0.396,1068,0.0,SURFACED
1678715742.963,5.441,VALID,0.269,1067,0.027,SURFACED
1678715743.163,5.356,VALID,0.2,1066,0.161,SURFACED
1678715743.363,5.439,VALID,0.559,1064,0.0,SURFACED
1678715743.563,5.497,VALID,0.2,1063,0.0,SURFACED
1678715743.763,5.444,VALID,0.338,1062,0.0,SURFACED
1678715743.963,5.503,VALID,1.14,1061,0.041,SURFACED
1678715744.163,5.35,VALID,0.2,1059,0.131,SURFACED
